species,Scientific name,code,Local status,taxon,family,plumage,similar,identical,personality,ga.gen,ga.fl,ga.jv,ga.sa,ga.1w,ga.1s,ga.1y,ga.2w,ga.3w,ga.nb,ga.an,ga.ab,tips
Ring-billed gull,Larus delawarensis,RBGU,Rare,Gulls,Laridae,JV-1W-1S-2W-AN-AB,??,??,,<strong>General:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Fledgling: <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Juvenile:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Subadult:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st summer:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st year:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>2nd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>3rd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Non-breeding:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult non-breeding:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult breeding: </strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,
Black-legged kittiwake,Rissa tridactyla,BLKI,Common,Gulls,Laridae,JV-1W-1S-AN-AB,Young are similar to BOGU. Adults similar to Mew,,,"<strong>General:</strong>  JustÄdifferent. Raptorial bill and black legs are constants. <br/>Size: Between mew and thayer's. <br/>Wing tips: All black NEVER WITH SPOTS.  <br/>Head: <br/>Bill:Raptorial and sharp.  <br/>Eye: Large, black-hole black. The Kittiwake horizon. <br/>Posture: Awkward when standing; chest sticking out and legs are far back under body. <br/>Wings:  <br/>Legs:ALWAYS BLACK.  <br/>Other: ",<strong>Fledgling: <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Juvenile:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Subadult:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st summer:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st year:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>2nd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>3rd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Non-breeding:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult non-breeding:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult breeding: </strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,
California gull,Larus californicus,CAGU,Uncommon,Gulls,Laridae,JV-1W-1S-2W-3W-AN-AB,THGU-HERG-MEGU,,,"<strong>General:</strong>  Tricky gull at a distance, but becomes easy when you get a good look at it. <br/>Size:Between Thayers and Herring <br/>Wing tips: <br/>Head: Sloping head very similar to Herring <br/>Bill: Thick, not constricted at base like herring.  <br/>Eye: DARK EYE. <br/>Posture: Pot bellied, not toned like herring gull.  <br/>Wings:  <br/>Legs:  <br/>Other: ",<strong>Fledgling: <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Juvenile:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Subadult:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st summer:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st year:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>2nd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>3rd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Non-breeding:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult non-breeding:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult breeding: </strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,
Herring gull,Larus argentatus,HERG,Common,Gulls,Laridae,JV-1W-1S-2W-3W-AN-AB,THGU-CAGU-MEGU-GWGU,,,"<strong>General:</strong>  Enomous frightening badass gull. <br/>Size: Large, akin to Glaucous-winged and glaucous. <br/>Wing tips: Two-sectioned black with white in adults. <br/>Head: Relatively large head, with dramatic slope meeting the bill smoothly. <br/>Bill:  Seems constricted at base like a Procellariid. <br/>Eye:   <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ",<strong>Fledgling: <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Juvenile:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Subadult:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st summer:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st year:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>2nd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>3rd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Non-breeding:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult non-breeding:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult breeding: </strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,
Thayer's gull,Larus thayeri,THGU,Common,Gulls,Laridae,JV-1W-2W-3W-AN-AB,CAGU-HERG-GWGU,,,<strong>General:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Fledgling: <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Juvenile:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Subadult:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st summer:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st year:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>2nd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>3rd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Non-breeding:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult non-breeding:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult breeding: </strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,
Western gull,Larus occidentalis,WEGU,Uncommon,Gulls,Laridae,JV-1W-1S-2W-3W-AN-AB,JV: HERG-GWGU-THEGU-CAGU,,,<strong>General:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Fledgling: <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Juvenile:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Subadult:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st summer:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st year:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>2nd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>3rd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Non-breeding:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult non-breeding:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult breeding: </strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,
Glaucous-winged gull,Larus glaucescens,GWGU,Common,Gulls,Laridae,JV-1W-1S-2W-3W-AN-AB,HERG-GLGU-JV: CAGU too,,,<strong>General:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Fledgling: <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Juvenile:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Subadult:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st summer:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st year:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>2nd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>3rd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Non-breeding:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult non-breeding:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult breeding: </strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,
Glaucous gull,Larus hyperboreus,GLGU,Uncommon,Gulls,Laridae,JV-1S-2W-3W-AN-AB,GWGU a bit,,,<strong>General:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Fledgling: <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Juvenile:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Subadult:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st summer:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st year:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>2nd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>3rd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Non-breeding:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult non-breeding:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult breeding: </strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,
Common tern,Sterna hirundo,COTE,Rare,Terns,Sternidae,JV-1W-AN-AB,Other tern - BOGU,,,"<strong> General</strong> : Longer bill, longer legs, and much more black on wing tips than Arctic tern.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Arctic tern,Sterna paradisea,ARTE,Rare,Terns,Sternidae,JV-1Y-AN-AB,Other tern - BOGU,,,"<strong>General:</strong>  Shorter bill, shorter legs, and much less black on wng tips than Common tern.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Tufted puffin,Fratercula cirrhata,TUPU,Rare,Alcids,Alcidae,JV-AN-AB,JV: JV RHAU,None,,<strong>General:</strong>  Large alcidenormous honker and funny hair-do.,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Common murre,Uria aalge,COMU,Common,Alcids,Alcidae,FL-1Y-AN-AB,NB: Pigeon guillemot,None,,"<strong>General:</strong>  Large with long dagger-like bill, almost confused with loons. ",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Pigeon guillemot,Cepphus columba,PIGU,Uncommon,Alcids,Alcidae,JV-AN-AB,NB and JV: Murre,None,,"<strong>General:</strong>  Orange feet! White wing patches (sitting and in flight), round head and short bill (like Cassin's but much bigger overall).",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Rhinocerus auklet,Cerorhinca monocerata,RHAU,Common,Alcids,Alcidae,JV-AN-AB,JV: Cassin's or JV Tufted ,None,,"<strong>General:</strong>  Large, hulky alcid. Just slightly smaller than Common murre. Humped, strong back in flight. Short wing aspect-ratio compared to murrelets, but much larger overall. Strong but blunt bill is unique among local alcids.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Cassin's auklet,Ptychoramphus aleuticus,CAAU,Common,Alcids,Alcidae,JV-AN-AB,All plumages practically identical,None,,"<strong>General:</strong>  Small alcid, between rhino and marbled in size. Very round head, short triangular beak and permanent white eyepatch (but difficult to see at a distance). Tied with marbled murrelet for worst take offs.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Marbled murrelet,Brachyramphus memoratus,MAMU,Common,Alcids,Alcidae,AN-AB,"Ancient, Cassins at a distance",None,,"<strong>General:</strong>  Thin, short bill and FLAT FOREHEAD. Smallest alcid in area, but long wings in flight make it look bigger. Plumage changes dramatically throughout summer. Tied with Cassin's auklet for worst take offs and landings.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,"Key in productivity estimates is AHY/HY distinction, which requires close approach."
Ancient murrelet,Synthiboramphus antiquus,ANMU,Rare,Alcids,Alcidae,JV-AN-AB,JV and NB practically identicaly,None,,"<strong>General:</strong>  Small alcid, very like marbled murrelet but more elegant plumage. White eyebrow. NEVER HAS A WHITE SHOULDER STRAP.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Belted kingfisher,Megaceryle alcyon,BEKI,Uncommon,Other,Alcedinidae,JV-AA,None,None,,"<strong>General:</strong>  Enormous head, lands in trees, usually seen only entering and leaving coves but noteworthy when seen crossing a sound.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Bald eagle,Halieaetus leucocephalus,BAEA,Common,Other,Accipiteridae,JV-AA,None,None,,"<strong>General:</strong>   Inordinate size, broad eagle wings with long soaring primaries, wimpy call. The most common raptor in the area. Scrappy juveniles can look like more crytpic hawk species.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"General: Huge eyes, small bill, round head too large for body.",,,,,,,,,,,,
